Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee
2001/02,04/11/01,Arsenal,Charlton,2,4,A,1,2,A,26,9,12,4,9,11,4,6,3,2,0,0,M. R. Halsey
2001/02,04/11/01,Chelsea,Ipswich,2,1,H,1,0,H,15,7,6,3,12,17,5,6,0,2,0,0,R. Styles
2001/02,04/11/01,Leeds,Tottenham,2,1,H,0,0,D,20,11,9,4,9,15,7,3,1,3,0,0,S. G. Bennett
2001/02,04/11/01,Liverpool,Man United,3,1,H,2,0,H,8,10,5,3,9,13,1,1,0,0,0,0,G. Poll
2001/02,17/11/01,Aston Villa,Middlesbrough,0,0,D,0,0,D,8,11,5,2,16,9,5,3,1,2,0,0,P. Jones
2001/02,17/11/01,Blackburn,Liverpool,1,1,D,0,1,A,5,5,5,2,17,10,6,3,2,0,0,0,M. A. Riley
2001/02,17/11/01,Derby,Southampton,1,0,H,1,0,H,9,8,3,4,13,13,7,6,0,1,0,0,P. A. Durkin
2001/02,17/11/01,Fulham,Newcastle,3,1,H,2,0,H,8,7,8,1,10,18,4,4,0,6,0,0,E. K. Wolstenholme
2001/02,17/11/01,Man United,Leicester,2,0,H,1,0,H,14,8,7,4,10,10,10,4,2,1,0,0,A. P. D'Urso
2001/02,17/11/01,Tottenham,Arsenal,1,1,D,0,0,D,9,5,4,5,18,16,9,6,2,1,0,0,J. T. Winter
2001/02,18/11/01,Everton,Chelsea,0,0,D,0,0,D,12,14,4,7,11,11,8,4,1,3,0,0,M. R. Halsey
2001/02,18/11/01,Ipswich,Bolton,1,2,A,1,2,A,8,10,4,5,8,16,12,2,0,2,0,0,S. G. Bennett
2001/02,18/11/01,Sunderland,Leeds,2,0,H,0,0,D,12,12,5,6,25,11,5,3,1,3,0,0,G. P. Barber
2001/02,19/11/01,Charlton,West Ham,4,4,D,2,2,D,18,11,9,7,8,13,13,4,1,2,0,0,A. G. Wiley
2001/02,24/11/01,Bolton,Fulham,0,0,D,0,0,D,11,7,5,1,11,9,2,3,1,1,0,0,M. L Dean
2001/02,24/11/01,Chelsea,Blackburn,0,0,D,0,0,D,14,8,8,2,13,7,7,3,0,2,0,0,G. Poll
2001/02,24/11/01,Leicester,Everton,0,0,D,0,0,D,8,8,7,3,18,21,7,2,2,1,0,0,U. D. Rennie
2001/02,24/11/01,Newcastle,Derby,1,0,H,1,0,H,17,8,10,4,10,14,8,6,1,2,0,0,R. Styles
2001/02,24/11/01,Southampton,Charlton,1,0,H,0,0,D,15,7,8,4,10,16,10,5,0,1,0,0,D. J. Gallagher
2001/02,24/11/01,West Ham,Tottenham,0,1,A,0,0,D,10,10,6,3,18,13,4,2,2,2,0,0,D. R. Elleray
2001/02,25/11/01,Arsenal,Man United,3,1,H,0,1,A,14,2,10,1,12,19,11,2,2,3,0,0,P. Jones
2001/02,25/11/01,Leeds,Aston Villa,1,1,D,1,1,D,16,15,9,8,15,15,7,6,2,2,1,0,N. S. Barry
2001/02,25/11/01,Liverpool,Sunderland,1,0,H,1,0,H,7,12,3,5,9,12,4,3,1,3,1,0,S. G. Bennett
2001/02,25/11/01,Middlesbrough,Ipswich,0,0,D,0,0,D,9,11,4,3,5,8,3,5,0,0,0,0,D. Pugh
2001/02,01/12/01,Aston Villa,Leicester,0,2,A,0,1,A,11,6,7,4,8,14,7,8,0,4,1,0,S. G. Bennett
2001/02,01/12/01,Blackburn,Middlesbrough,0,1,A,0,1,A,14,8,4,5,8,9,7,3,1,2,0,0,B. Knight
2001/02,01/12/01,Charlton,Newcastle,1,1,D,0,0,D,15,12,7,6,7,11,3,7,1,2,0,1,A. P. D'Urso
2001/02,01/12/01,Derby,Liverpool,0,1,A,0,1,A,12,7,4,5,9,14,5,9,1,2,0,0,G. P. Barber
2001/02,01/12/01,Ipswich,Arsenal,0,2,A,0,1,A,7,7,2,3,4,9,12,5,0,2,0,0,D. R. Elleray
2001/02,01/12/01,Man United,Chelsea,0,3,A,0,1,A,12,14,5,5,9,16,7,2,2,3,0,0,A. G. Wiley
2001/02,01/12/01,Sunderland,West Ham,1,0,H,0,0,D,15,10,6,5,12,16,3,3,3,0,0,0,P. Jones
2001/02,02/12/01,Everton,Southampton,2,0,H,0,0,D,13,10,7,4,19,13,5,6,0,1,0,0,J.T. Winter
2001/02,02/12/01,Fulham,Leeds,0,0,D,0,0,D,13,6,5,5,11,21,5,5,1,2,0,0,G. Poll
2001/02,03/12/01,Tottenham,Bolton,3,2,H,0,1,A,14,9,6,6,10,14,5,6,0,2,0,0,P. A. Durkin
2001/02,05/12/01,Chelsea,Charlton,0,1,A,0,0,D,20,11,5,5,13,10,8,1,1,1,0,0,D. J. Gallagher
2001/02,05/12/01,West Ham,Aston Villa,1,1,D,0,1,A,14,12,8,5,10,15,5,6,2,1,0,0,M. L Dean
2001/02,08/12/01,Charlton,Tottenham,3,1,H,2,0,H,11,14,6,5,10,12,9,9,3,1,0,0,S. W. Dunn
2001/02,08/12/01,Derby,Bolton,1,0,H,0,0,D,16,6,6,3,11,24,5,4,0,4,0,0,M. D. Messias
2001/02,08/12/01,Fulham,Everton,2,0,H,1,0,H,10,5,4,3,15,25,6,7,2,4,1,1,P. Dowd
