Date,home_team,away_team,result,predicted,confidence,correct
2023-02-11,Bournemouth,Newcastle,Draw,AwayWin,0.729,False
2025-08-31,Nott'm Forest,West Ham,AwayWin,HomeWin,0.729,False
2023-12-24,Wolves,Chelsea,HomeWin,AwayWin,0.728,False
2023-12-09,Crystal Palace,Liverpool,AwayWin,AwayWin,0.728,True
2025-05-25,Bournemouth,Leicester,HomeWin,HomeWin,0.727,True
2023-12-03,Liverpool,Fulham,HomeWin,HomeWin,0.727,True
2023-10-29,Liverpool,Nott'm Forest,HomeWin,HomeWin,0.727,True
2023-05-14,Arsenal,Brighton,AwayWin,HomeWin,0.727,False
2024-12-04,Man City,Nott'm Forest,HomeWin,HomeWin,0.727,True
2024-01-20,Arsenal,Crystal Palace,HomeWin,HomeWin,0.726,True
2026-04-10,West Ham,Wolves,HomeWin,HomeWin,0.726,True
2022-08-15,Liverpool,Crystal Palace,Draw,HomeWin,0.726,False
2023-12-17,Arsenal,Brighton,HomeWin,HomeWin,0.725,True
2023-08-26,Man United,Nott'm Forest,HomeWin,HomeWin,0.725,True
2025-12-30,Man United,Wolves,Draw,HomeWin,0.724,False
2025-01-01,Brentford,Arsenal,AwayWin,AwayWin,0.722,True
2024-04-13,Burnley,Brighton,Draw,AwayWin,0.722,False
2026-03-04,Man City,Nott'm Forest,Draw,HomeWin,0.72,False
2025-02-12,Everton,Liverpool,Draw,AwayWin,0.72,False
2025-11-01,Burnley,Arsenal,AwayWin,AwayWin,0.719,True
2024-03-30,Chelsea,Burnley,Draw,HomeWin,0.719,False
2025-10-18,Man City,Everton,HomeWin,HomeWin,0.719,True
2023-10-21,Liverpool,Everton,HomeWin,HomeWin,0.719,True
2024-08-24,Tottenham,Everton,HomeWin,HomeWin,0.718,True
2025-04-26,Wolves,Leicester,HomeWin,HomeWin,0.716,True
2025-02-22,Arsenal,West Ham,AwayWin,HomeWin,0.716,False
2025-10-25,Chelsea,Sunderland,AwayWin,HomeWin,0.716,False
2023-09-16,Fulham,Luton,HomeWin,HomeWin,0.716,True
2023-04-08,Leicester,Bournemouth,AwayWin,HomeWin,0.716,False
2023-04-26,Man City,Arsenal,HomeWin,HomeWin,0.714,True
2025-08-16,Tottenham,Burnley,HomeWin,HomeWin,0.714,True
2023-05-14,Everton,Man City,AwayWin,AwayWin,0.714,True
2024-09-14,Southampton,Man United,AwayWin,AwayWin,0.714,True
2023-02-04,Everton,Arsenal,HomeWin,AwayWin,0.714,False
2025-01-25,Southampton,Newcastle,AwayWin,AwayWin,0.713,True
2023-09-24,Sheffield United,Newcastle,AwayWin,AwayWin,0.713,True
2025-04-12,Brighton,Leicester,Draw,HomeWin,0.711,False
2023-03-12,Newcastle,Wolves,HomeWin,HomeWin,0.711,True
2023-03-18,Chelsea,Everton,Draw,HomeWin,0.711,False
2024-03-31,Man City,Arsenal,Draw,HomeWin,0.71,False
2024-04-20,Luton,Brentford,AwayWin,AwayWin,0.71,True
2024-09-14,Bournemouth,Chelsea,AwayWin,AwayWin,0.709,True
2024-12-26,Man City,Everton,Draw,HomeWin,0.709,False
2024-12-14,Newcastle,Leicester,HomeWin,HomeWin,0.709,True
2026-04-19,Man City,Arsenal,HomeWin,HomeWin,0.709,True
2025-04-12,Arsenal,Brentford,Draw,HomeWin,0.709,False
2025-10-26,Aston Villa,Man City,HomeWin,AwayWin,0.708,False
2023-03-01,Liverpool,Wolves,HomeWin,HomeWin,0.707,True
2024-02-24,Bournemouth,Man City,AwayWin,AwayWin,0.707,True
2026-01-07,Man City,Brighton,Draw,HomeWin,0.707,False
2026-03-14,Burnley,Bournemouth,Draw,AwayWin,0.706,False
2026-05-24,Nott'm Forest,Bournemouth,Draw,AwayWin,0.706,False
2024-01-30,Nott'm Forest,Arsenal,AwayWin,AwayWin,0.706,True
2023-09-02,Brentford,Bournemouth,Draw,HomeWin,0.706,False
2022-08-31,Bournemouth,Wolves,Draw,AwayWin,0.705,False
2026-03-14,Arsenal,Everton,HomeWin,HomeWin,0.705,True
2024-04-24,Man United,Sheffield United,HomeWin,HomeWin,0.705,True
2024-08-16,Man United,Fulham,HomeWin,HomeWin,0.705,True
2023-12-26,Burnley,Liverpool,AwayWin,AwayWin,0.704,True
2026-05-01,Leeds,Burnley,HomeWin,HomeWin,0.704,True
2025-05-03,Everton,Ipswich,Draw,HomeWin,0.703,False
2023-04-04,Bournemouth,Brighton,AwayWin,AwayWin,0.702,True
2022-08-27,Arsenal,Fulham,HomeWin,HomeWin,0.702,True
2025-04-13,Chelsea,Ipswich,Draw,HomeWin,0.702,False
2023-02-04,Man United,Crystal Palace,HomeWin,HomeWin,0.702,True
2024-12-26,Chelsea,Fulham,AwayWin,HomeWin,0.702,False
2026-04-19,Nott'm Forest,Burnley,HomeWin,HomeWin,0.701,True
2023-10-23,Tottenham,Fulham,HomeWin,HomeWin,0.701,True
